gene	AC_afr	AC_sas	AC_amr	AC_eas	AC_nfe	AC_fin	AC_asj	AC_main	AN_afr	AN_sas	AN_amr	AN_eas	AN_nfe	AN_fin	AN_asj	AN_main	U	tercile	shet_cassa
NASP	1	0	0	1	0	0	0	2	14606	25057	25159	15673	104496	21002	8667	184991	1.54e-06	3	0.0129104326
NAT10	7	30	12	7	47	3	34	103	16209.6279069767	30430.1860465116	34386.7906976744	18336	113402.325581395	21617.6279069767	10044.3255813953	212764.930232558	3e-06	3	0.0047429463
NAT16	0	4	0	1	1	0	0	6	10442.6666666667	26452	29582.6666666667	14227.3333333333	83864	13468.6666666667	8668.66666666667	164568.666666667	7.2e-07	1	0.0092547509
NAT2	0	2	0	8	5	0	1	15	16160.25	30323.75	34360.5	18370.75	113165.25	21539.75	9947.5	212380.5	4.28e-07	1	0.007105431
NAT6	0	0	1	0	3	0	0	4	15467	30219	34192	17949	111966	21424	9864	209793	3.5e-07	1	0.0269422677
NAT9	1	0	0	0	4	2	0	5	16235.4285714286	30611.1428571429	34576.8571428571	18391.7142857143	113584.857142857	21559.7142857143	10071.4285714286	213400	5.17e-07	1	0.0137113116
NAV1	0	0	0	0	2	0	0	2	16215	30259	34325	18373	112304	21342	9783	211476	3.86e-06	3	0.338184225
NAV2	2	2	2	4	11	1	0	21	16182.1176470588	30129.0588235294	34168.9411764706	18263.1764705882	112106.117647059	21284.8235294118	9838.94117647059	210849.411764706	4.81e-06	3	0.0586739779
NAV3	1	4	0	1	5	0	0	11	15367.1111111111	30073.1111111111	33676.4444444444	17746.8888888889	111583.777777778	21373.5555555556	9762	208447.333333333	5.26e-06	3	0.0637770299
NBAS	16	17	31	13	86	5	0	163	16194.2888888889	30537.6	34522.6444444444	18360.8444444444	113356.911111111	21619.2	10061.7111111111	212972.288888889	6.8e-06	3	0.0091330982
NBEA	1	1	0	2	2	0	0	6	15045.6	29169.2	32281.2	17279.2	110023.6	21368.8	9757.2	203798.8	7.84e-06	3	0.343984914
NBEAL2	0	4	9	9	14	7	2	36	14307.6	28722.8	32551.3333333333	16951.0666666667	105249.533333333	20074.2666666667	9437.93333333333	197782.333333333	6.7e-06	3	0.029982591
NBN	4	10	4	2	17	5	2	37	16112.3333333333	30591.3333333333	34529.75	18369.4166666667	113163.5	21535.1666666667	10056.25	212766.333333333	1.81e-06	3	0.0077325498
NBPF3	1	10	7	3	8	0	0	29	15941.1111111111	30052	33918	17987.5555555556	110413.555555556	20904.4444444444	9806.88888888889	208312.222222222	1.99e-06	3	0.0032741727
NBR1	1	1	2	9	14	1	2	27	14362.6666666667	28480.1904761905	31842.7619047619	16900.4761904762	104707.904761905	20706.2857142857	9548.38095238095	196294	2.42e-06	3	0.0225253509
NCAM2	1	2	2	1	2	1	0	8	14084.8	27173.6	29085.6	15610.4	104530	20779	8971	190484.4	2.11e-06	3	0.0517110479
